relative_path,label,class_name,surface,source_group,source_group_verified,group_resolution_method,sha256,perceptual_hash,width,height,source_width,source_height,source_mode,image_format,file_size_bytes,exif_orientation,audit_status,audit_error,split
D/CD/7001-115.jpg,1,Crack,D,7001,True,verified_regex,f53597180101e3c17e2ee613f660c6b53b96e5218019ba23374f260e41e47ab1,9982099490416332,256,256,256,256,RGB,JPEG,9757,,ok,,train
D/CD/7001-139.jpg,1,Crack,D,7001,True,verified_regex,4c96684818bb3b154b54279667f20cb31c95223496272f5a2d092c027ca4e698,c9e571b023024446,256,256,256,256,RGB,JPEG,7368,,ok,,train
D/CD/7001-151.jpg,1,Crack,D,7001,True,verified_regex,3922d9a2c4ea4e94e39f067cd029e98749ebe9cd1f3ad2e21fd9306ad8ca7427,e8d9990695942208,256,256,256,256,RGB,JPEG,8325,,ok,,train
D/CD/7001-157.jpg,1,Crack,D,7001,True,verified_regex,ab3b70d01f470ad9afd3eb535749e207009c432e2aaba4f9bcfa0c7a75e46b70,692594a8ad3d8ccc,256,256,256,256,RGB,JPEG,7411,,ok,,train
D/CD/7001-169.jpg,1,Crack,D,7001,True,verified_regex,c8afea5de74d0b358875bc2c3ca4bf2db5779d477fe4de857e3661434474efaa,1190b0b0c5046838,256,256,256,256,RGB,JPEG,7597,,ok,,train
D/CD/7001-17.jpg,1,Crack,D,7001,True,verified_regex,42dbf2307197da1680e739151ae0d4a119c9ed732d23d4fcfa2481b1fa93cb06,6b5b5b93ab6f2335,256,256,256,256,RGB,JPEG,7002,,ok,,train
D/CD/7001-173.jpg,1,Crack,D,7001,True,verified_regex,abf4b733ad02cd7027b0ac893d84b72e3c720e07163ac4812c90fdcbd260f52d,b68f8c0404181534,256,256,256,256,RGB,JPEG,7845,,ok,,train
D/CD/7001-178.jpg,1,Crack,D,7001,True,verified_regex,6bd4f33a25bb2a6cddce2ba359145ee4ef90eb7c59dbac1de26db545b53bf65a,3c39349b8ba4136b,256,256,256,256,RGB,JPEG,6968,,ok,,train
D/CD/7001-187.jpg,1,Crack,D,7001,True,verified_regex,220c9837f921c4114e4b11530b8f9c83d4efb91621a4e5dafd7c870ae8e5d16c,5a563212142140b0,256,256,256,256,RGB,JPEG,6785,,ok,,train
D/CD/7001-2.jpg,1,Crack,D,7001,True,verified_regex,39f8afc6adfab67aacdeddad8d048862fbc9020586d649d5ad950eec7688722b,82848690968a86c3,256,256,256,256,RGB,JPEG,5511,,ok,,train
D/CD/7001-208.jpg,1,Crack,D,7001,True,verified_regex,f7949c9aa27919d62c0bdaea30f9ef635d625df1e255b50c140e6cdeaf13041e,4e2251348416a2e2,256,256,256,256,RGB,JPEG,6671,,ok,,train
D/CD/7001-21.jpg,1,Crack,D,7001,True,verified_regex,ae34dd49146986f6a5c609247adb2ed5dc800b432ff3bb589ffb44fa2b869aa1,2288609229145218,256,256,256,256,RGB,JPEG,6122,,ok,,train
D/CD/7001-22.jpg,1,Crack,D,7001,True,verified_regex,2998415320a18ed9915dcaabb0430a38dfc5685af56a712e04996e59783b8b85,53783214069222a3,256,256,256,256,RGB,JPEG,5864,,ok,,train
D/CD/7001-225.jpg,1,Crack,D,7001,True,verified_regex,2584a48cfc62aab2fbc94a26b8a317cecd05b860db01bc6ee74b7bc488874fc3,84854380c5c30136,256,256,256,256,RGB,JPEG,6737,,ok,,train
D/CD/7001-226.jpg,1,Crack,D,7001,True,verified_regex,ebe4d0d0305b5866948f7db1eecc33e43c2836f1b9b6805b51e109539c1e8142,9c384960b2a85c52,256,256,256,256,RGB,JPEG,7291,,ok,,train
D/CD/7001-236.jpg,1,Crack,D,7001,True,verified_regex,2cce0961257e5140346845dda9c375f71c57bf9f586b9063aef8537290938d18,221615993232a41d,256,256,256,256,RGB,JPEG,5714,,ok,,train
D/CD/7001-237.jpg,1,Crack,D,7001,True,verified_regex,228737b263762f8463440faa791371e7717b34eea1178d4972e41bab021459ad,58098b9944262484,256,256,256,256,RGB,JPEG,5580,,ok,,train
D/CD/7001-25.jpg,1,Crack,D,7001,True,verified_regex,d20d6dec76537ae45a4e3557833d9ccef41c3854867eeb9faf77087846d91ba8,b39082e653e92d3a,256,256,256,256,RGB,JPEG,6352,,ok,,train
D/CD/7001-26.jpg,1,Crack,D,7001,True,verified_regex,3d9eee9fcced3f563ade3ad45e780b2178bda4edc89e1e9db6a49c4799f1c9e3,282494089998a4e0,256,256,256,256,RGB,JPEG,6715,,ok,,train
D/CD/7001-27.jpg,1,Crack,D,7001,True,verified_regex,e28675cd7b1ac2b84008132d54bfbd1af6b030a4c6c06099fbfb863771f323bb,a4a66330c9873274,256,256,256,256,RGB,JPEG,6751,,ok,,train
D/CD/7001-40.jpg,1,Crack,D,7001,True,verified_regex,c5dfdc526f40357cb7f9312ea292b57aff090715a3cec9c9383cf23e27a8ff67,99d91d153012b634,256,256,256,256,RGB,JPEG,6774,,ok,,train
D/CD/7001-41.jpg,1,Crack,D,7001,True,verified_regex,646ccef9dc7ac7822e6146a9bd4f1408eeb7ec3f548710729a8050941ec6e4cb,13888c92d986d1c0,256,256,256,256,RGB,JPEG,7142,,ok,,train
D/CD/7001-42.jpg,1,Crack,D,7001,True,verified_regex,5a925565cd07e9630aa41dc8302e1bc9ec2205e279e02a8c9e9faace278ec8c8,4065226215941059,256,256,256,256,RGB,JPEG,6829,,ok,,train
D/CD/7001-43.jpg,1,Crack,D,7001,True,verified_regex,0bef6cad6b936d4faa6f356d83a088745c2a2ab3020d2941d08abc8d591ec61e,cccccc6c2f0be888,256,256,256,256,RGB,JPEG,6294,,ok,,train
D/CD/7001-56.jpg,1,Crack,D,7001,True,verified_regex,747e08bbf88fc51275dbd8758bb0040b0c06ca260972378d25dfd592fcf74e57,292212ac4c4c2e0a,256,256,256,256,RGB,JPEG,5473,,ok,,train
D/CD/7001-57.jpg,1,Crack,D,7001,True,verified_regex,ba5c585e1dfe4872a7d676c2f10b5b19979c911bbcaf8313b69a98732edfc627,351490e182154104,256,256,256,256,RGB,JPEG,5883,,ok,,train
